timestamp,keyword,asin,price,rating,review_count,bsr,rank_page,rank_position,rank_absolute,product_url
2025-10-02T21:18:43.895804+00:00,banarasi saree for women silk,B0F8ZLHTGK,,4.2 out of 5,704 ratings,"Best Sellers Rank: #1,266 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #50 in Women's Sarees",,,,https://www.amazon.in/dp/B0F8ZLHTGK
2025-10-02T21:18:45.791493+00:00,banarasi saree for women silk,B0CRYPC7XL,,4 out of 5,250 ratings,"Best Sellers Rank: #2,616 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #131 in Women's Sarees",1.0,41.0,41.0,https://www.amazon.in/dp/B0CRYPC7XL
2025-10-02T21:18:48.008774+00:00,banarasi saree for women silk,B0CZ9QTV8V,,3.8 out of 5,742 ratings,Best Sellers Rank: #421 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #9 in Women's Sarees,1.0,11.0,11.0,https://www.amazon.in/dp/B0CZ9QTV8V
2025-10-02T21:18:50.163538+00:00,banarasi saree for women silk,B0D8GYHB4M,,3.7 out of 5,"1,272 ratings",Best Sellers Rank: #208 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4 in Women's Sarees,1.0,7.0,7.0,https://www.amazon.in/dp/B0D8GYHB4M
2025-10-02T21:19:02.101058+00:00,banarasi saree for women silk,B0DBVLNP1B,,4.1 out of 5,152 ratings,"Best Sellers Rank: #4,498 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #222 in Women's Sarees",,,,https://www.amazon.in/dp/B0DBVLNP1B
2025-10-02T21:19:14.953570+00:00,silk saree for women,B0F8ZLHTGK,,4.2 out of 5,704 ratings,"Best Sellers Rank: #1,266 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #50 in Women's Sarees",,,,https://www.amazon.in/dp/B0F8ZLHTGK
2025-10-02T21:19:26.513964+00:00,silk saree for women,B0CRYPC7XL,,4 out of 5,250 ratings,"Best Sellers Rank: #2,616 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #131 in Women's Sarees",5.0,16.0,256.0,https://www.amazon.in/dp/B0CRYPC7XL
2025-10-02T21:19:39.185123+00:00,silk saree for women,B0CZ9QTV8V,,3.8 out of 5,742 ratings,Best Sellers Rank: #421 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #9 in Women's Sarees,,,,https://www.amazon.in/dp/B0CZ9QTV8V
2025-10-02T21:19:41.245203+00:00,silk saree for women,B0D8GYHB4M,,3.7 out of 5,"1,272 ratings",Best Sellers Rank: #208 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4 in Women's Sarees,1.0,7.0,7.0,https://www.amazon.in/dp/B0D8GYHB4M
2025-10-02T21:19:54.063752+00:00,silk saree for women,B0DBVLNP1B,,4.1 out of 5,152 ratings,"Best Sellers Rank: #4,498 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #222 in Women's Sarees",,,,https://www.amazon.in/dp/B0DBVLNP1B
2025-10-02T21:20:07.482707+00:00,printed silk sarees for women,B0F8ZLHTGK,,4.2 out of 5,704 ratings,"Best Sellers Rank: #1,266 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #50 in Women's Sarees",,,,https://www.amazon.in/dp/B0F8ZLHTGK
2025-10-02T21:20:19.765495+00:00,printed silk sarees for women,B0CRYPC7XL,,4 out of 5,250 ratings,"Best Sellers Rank: #2,616 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #131 in Women's Sarees",,,,https://www.amazon.in/dp/B0CRYPC7XL
2025-10-02T21:20:33.111481+00:00,printed silk sarees for women,B0CZ9QTV8V,,3.8 out of 5,742 ratings,Best Sellers Rank: #421 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #9 in Women's Sarees,,,,https://www.amazon.in/dp/B0CZ9QTV8V
2025-10-02T21:20:46.023717+00:00,printed silk sarees for women,B0D8GYHB4M,,3.7 out of 5,"1,272 ratings",Best Sellers Rank: #208 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4 in Women's Sarees,,,,https://www.amazon.in/dp/B0D8GYHB4M
2025-10-02T21:20:58.829819+00:00,printed silk sarees for women,B0DBVLNP1B,,4.1 out of 5,152 ratings,"Best Sellers Rank: #4,498 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #222 in Women's Sarees",,,,https://www.amazon.in/dp/B0DBVLNP1B
2025-10-02T21:21:11.346222+00:00,kanjivaram silk sarees latest design,B0F8ZLHTGK,,4.2 out of 5,704 ratings,"Best Sellers Rank: #1,266 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #50 in Women's Sarees",,,,https://www.amazon.in/dp/B0F8ZLHTGK
2025-10-02T21:21:24.620736+00:00,kanjivaram silk sarees latest design,B0CRYPC7XL,,4 out of 5,250 ratings,"Best Sellers Rank: #2,616 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #131 in Women's Sarees",,,,https://www.amazon.in/dp/B0CRYPC7XL
2025-10-02T21:21:26.893108+00:00,kanjivaram silk sarees latest design,B0CZ9QTV8V,,3.8 out of 5,742 ratings,Best Sellers Rank: #421 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #9 in Women's Sarees,1.0,13.0,13.0,https://www.amazon.in/dp/B0CZ9QTV8V
2025-10-02T21:21:29.212418+00:00,kanjivaram silk sarees latest design,B0D8GYHB4M,,3.7 out of 5,"1,272 ratings",Best Sellers Rank: #208 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4 in Women's Sarees,1.0,6.0,6.0,https://www.amazon.in/dp/B0D8GYHB4M
2025-10-02T21:21:42.297389+00:00,kanjivaram silk sarees latest design,B0DBVLNP1B,,4.1 out of 5,152 ratings,"Best Sellers Rank: #4,498 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #222 in Women's Sarees",,,,https://www.amazon.in/dp/B0DBVLNP1B
2025-10-02T21:21:55.087952+00:00,saree kanjivaram silk,B0F8ZLHTGK,,4.2 out of 5,704 ratings,"Best Sellers Rank: #1,266 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #50 in Women's Sarees",,,,https://www.amazon.in/dp/B0F8ZLHTGK
2025-10-02T21:22:07.682917+00:00,saree kanjivaram silk,B0CRYPC7XL,,4 out of 5,250 ratings,"Best Sellers Rank: #2,616 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #131 in Women's Sarees",,,,https://www.amazon.in/dp/B0CRYPC7XL
2025-10-02T21:22:09.721701+00:00,saree kanjivaram silk,B0CZ9QTV8V,,3.8 out of 5,742 ratings,Best Sellers Rank: #421 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #9 in Women's Sarees,1.0,19.0,19.0,https://www.amazon.in/dp/B0CZ9QTV8V
2025-10-02T21:22:11.991819+00:00,saree kanjivaram silk,B0D8GYHB4M,,3.7 out of 5,"1,272 ratings",Best Sellers Rank: #208 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4 in Women's Sarees,1.0,6.0,6.0,https://www.amazon.in/dp/B0D8GYHB4M
2025-10-02T21:22:24.816040+00:00,saree kanjivaram silk,B0DBVLNP1B,,4.1 out of 5,152 ratings,"Best Sellers Rank: #4,498 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #222 in Women's Sarees",,,,https://www.amazon.in/dp/B0DBVLNP1B
2025-10-02T21:22:38.578603+00:00,saree woven cotton,B0F8ZLHTGK,,4.2 out of 5,704 ratings,"Best Sellers Rank: #1,266 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #50 in Women's Sarees",,,,https://www.amazon.in/dp/B0F8ZLHTGK
2025-10-02T21:22:51.172757+00:00,saree woven cotton,B0CRYPC7XL,,4 out of 5,250 ratings,"Best Sellers Rank: #2,616 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #131 in Women's Sarees",,,,https://www.amazon.in/dp/B0CRYPC7XL
2025-10-02T21:23:03.266981+00:00,saree woven cotton,B0CZ9QTV8V,,3.8 out of 5,742 ratings,Best Sellers Rank: #421 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #9 in Women's Sarees,,,,https://www.amazon.in/dp/B0CZ9QTV8V
2025-10-02T21:23:15.815873+00:00,saree woven cotton,B0D8GYHB4M,,3.7 out of 5,"1,272 ratings",Best Sellers Rank: #208 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4 in Women's Sarees,,,,https://www.amazon.in/dp/B0D8GYHB4M
2025-10-02T21:23:27.860624+00:00,saree woven cotton,B0DBVLNP1B,,4.1 out of 5,152 ratings,"Best Sellers Rank: #4,498 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #222 in Women's Sarees",,,,https://www.amazon.in/dp/B0DBVLNP1B
2025-10-02T21:23:40.970304+00:00,saree,B0F8ZLHTGK,,4.2 out of 5,704 ratings,"Best Sellers Rank: #1,266 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #50 in Women's Sarees",,,,https://www.amazon.in/dp/B0F8ZLHTGK
