ts,keyword,asin,action,success,note
2025-09-17 20:46:07,car polish spray,B089Z96M1T,find_asin,false,asin_not_found
2025-09-17 20:46:14,car polish spray,B00TC5IA2E,click,true,pdp_loaded
2025-09-17 20:46:31,car polish spray,B00TC5I66Y,click,true,pdp_loaded
2025-09-17 20:46:42,car polish spray,B0B38V7RKG,click,true,pdp_loaded
2025-09-17 20:46:52,car polish spray,B07XYPS3PS,click,true,pdp_loaded
2025-09-17 20:47:03,car polish spray,B0DYYLR6G2,click,true,pdp_loaded
2025-09-17 20:47:12,car polish spray,B004HCOE8Q,click,true,pdp_loaded
2025-09-17 20:47:23,car polish spray,B0FP34FT52,click,true,pdp_loaded
2025-09-17 20:47:31,car polish spray,B00XCCQ4WG,find_asin,false,asin_not_found
2025-09-17 20:47:34,car polish spray,B0DP2TXTJB,find_asin,false,asin_not_found
2025-09-17 20:47:42,car polish spray,B00RLK8UXG,click,true,pdp_loaded
2025-09-17 20:47:57,car polish spray,B0007TV6M0,click,true,pdp_loaded
2025-09-17 20:48:09,car polish spray,B00MHQ8JKS,click,true,pdp_loaded
2025-09-17 20:48:15,car polish spray,B0C498Y9WR,find_asin,false,asin_not_found
2025-09-17 20:48:21,car polish spray,B0F99Z7T48,click,true,pdp_loaded
2025-09-17 20:48:33,car polish spray,B07NW9D8FG,click,true,pdp_loaded
2025-09-17 20:48:43,car polish spray,B01JOVEIJY,click,true,pdp_loaded
2025-09-17 20:48:54,car polish spray,B00S5SAVQW,click,true,pdp_loaded
2025-09-17 20:49:03,car polish spray,B00PKE6NIY,click,true,pdp_loaded
2025-09-17 20:49:13,car polish spray,B0DHLKPLJ5,click,true,pdp_loaded
2025-09-17 20:49:23,car polish spray,B0CQ2K49SD,click,true,pdp_loaded
2025-09-17 20:49:32,car polish spray,B01J8311BG,click,true,pdp_loaded
2025-09-17 20:49:41,car polish spray,B0BBBDPBNW,click,true,pdp_loaded
2025-09-17 20:49:53,car polish spray,B08W5147DY,click,true,pdp_loaded
2025-09-17 20:50:04,car polish spray,B007O9CXHI,click,true,pdp_loaded
2025-09-17 20:50:13,car polish spray,B089Z924BC,click,true,pdp_loaded
2025-09-17 20:50:23,car polish spray,B0FMFMW8RK,click,true,pdp_loaded
2025-09-17 20:50:32,car polish spray,B00TDGVMH2,click,true,pdp_loaded
2025-09-17 20:50:43,car polish spray,B0B71CXXR6,click,true,pdp_loaded
2025-09-17 20:50:55,car polish spray,B0DXLJ2QBG,click,true,pdp_loaded
2025-09-17 20:51:05,car polish spray,B071FTVB7C,click,true,pdp_loaded
2025-09-17 20:51:14,car polish spray,B00MHP9DA4,click,true,pdp_loaded
2025-09-17 20:51:23,car polish spray,B00ZFS87LQ,click,true,pdp_loaded
2025-09-17 20:51:37,car polish spray,B07XYQJQMX,click,true,pdp_loaded
2025-09-17 20:51:47,car polish spray,B0CQJXZH3D,click,true,pdp_loaded
2025-09-17 20:51:57,car polish spray,B00XCCQ0RK,click,true,pdp_loaded
2025-09-17 20:52:11,car polish,B07QPCKGL4,click,true,pdp_loaded
2025-09-17 20:52:20,car polish,B00MHP9DA4,click,true,pdp_loaded
2025-09-17 20:52:29,car polish,B00MHQ8JKS,click,true,pdp_loaded
2025-09-17 20:52:40,car polish,B00XCCQ0RK,click,true,pdp_loaded
