title,price,rating,review_count,bullets,image_url,asin,url,scraped_at
"Wavex Dashboard Polish and Leather Conditioner + Protectant (1L) Car Dashboard Polish | Car Polish for Interior Plastic, Leather, Vinyl & Rubber | Dashboard Polish that Protects, Shines & Conditions",563.,4.3 out of 5 stars,"7,968 ratings","Advanced Car Polish for Interiors- Wavex Dashboard and Leather Conditioner + Protectant Car Dashboard Polish has a zero dust attraction, non-greasy formulation that provides interior plastic, leather, vinyl and rubber components with a natural, showroom-like shine | Car Dashboard Polish that Conditions & Protects- Wavex Dashboard and Leather Conditioner + Protectant Dashboard Polish goes deep down into the components to provide a much needed nourishment. This Car Polish for interiors protects against UV rays, cracking, fading and discolouration | Car Dashboard Polish with Pleasant Fragrance- Wavex Dashboard and Leather Conditioner + Protectant Car Polish for dashboards is infused with an extremely pleasant, peach-fruit fragrance. Not only would your car’s interiors look great, they will also have a refreshing fragrance | Great Dashboard Polish for OEM Finish- Regular use of the Wavex Dashboard and Leather Conditioner + Protectant Car Polish will ensure that your car’s interiors remain in a ‘Factory-Fresh Finish’ for a really long time | Most Convenient Car Dashboard Polish- Its partial cleaning properties followed by ease of use make this car polish for interior the most convenient dashboard polish in the auto care industry One Car Polish, Many Purposes- On the lookout for a dashboard polish, car dashboard polish, plastic refreshing polish for car, car interior polish, leather polish or a leather conditioner? Choose Wavex Dashboard and Leather Conditioner + Protectant Dashboard Polish for it",https://m.media-amazon.com/images/I/41HQfGYRXrL._SX300_SY300_QL70_ML2_.jpg,B0B68MLDZX,https://www.amazon.in/dp/B0B68MLDZX,2025-09-01T20:55:08.847843
,426,4.2 out of 5 stars,,"GLOSSY CAR INTERIORS - Effectively restores gloss in car dashboards, Door Panels and Trims. | MULTI SURFACE – Protects car Plastic, Vinyl and Rubber surfaces from UV Rays, fading and brings back gloss inside your Car. | EASY TO USE – The Car Dashboard Dresser spray is an easy DIY (Do it Yourself) formulation that gives you a higher gloss and non-greasy finish. | PLEASANT and NEW LOOK– The Glossy look and the pleasant fragrance makes your car interiors look Like they are always new and fresh. | GLOSSY INTERIORS-Effectively restores gloss of car dashboards, door panels and trims. Keeps your dashboard looking brand new and sparkling in black. | MULTI-SURFACE PROTECTION–Protects car plastic, vinyl and rubber surfaces from UV Rays and fading, bringing back glossy appearance of your car and making it look as good as new. | EASY-TO-USE–The 3M Car Dashboard Dresser spray is an easy DIY (Do-it-Yourself) formulation that gives you a higher sheen and non-greasy finish. | PLEASANT AND NEW LOOK– The clean glossy look and the pleasant fragrance makes your car interiors feel like they are as good as new and fresh. | NON-GREASY- The formulation is non-greasy and does not leave any residue, while restoring the shine of your dashboard.",,B00MINEUEO,https://www.amazon.in/dp/B00MINEUEO,2025-09-01T20:55:13.951044
"SHEEBA Dashboard & Interior Polish PROTECTANT with applicator pad for Cars & Bikes, Restores Original Look, Long Lasting, for Plastic & Vinyl Surfaces, Prevents Ageing, Dullness, Non Greasy: 200mL",160.,4.0 out of 5 stars,"5,929 ratings","Use for dashboard, bumper, trim, interior and exterior plastic and vinyl surfaces | Simply spray and get brand new shine instantly | High gloss, contains a unique blend of ingredients that gives extra bright shine and cover protection | Reliable performance | Attractive pricing",https://m.media-amazon.com/images/I/41G5sUejvQL._SX300_SY300_QL70_ML2_.jpg,B00TC5IA2E,https://www.amazon.in/dp/B00TC5IA2E,2025-09-01T20:55:18.415230
"SHEEBA All in One Multipurpose Liquid Polish for Car, Motorbike, Scooter, Household, Office Care | High Gloss | Easy Application | For Interior & Exterior Surfaces -500mL with Applicator Pad.",232.,4.0 out of 5 stars,"40,489 ratings","It's active formula gives extra bright shine & new look to articles polished. | High gloss, contains a unique blend of ingredients that gives extra bright shine and cover protection. | Easy application, as simple to apply and as simple to buff and no extra efforts. | Long Lasting: Leaves a long lasting protective film, that prevents & lasts for long time. | Multi-purpose: An ideal polish for application on Cars / Bikes & Scooter (Plastic, Rubber, Vinyl, Rexene, Surface etc.) Powder Coated Accessories, Car & Bike Headlights & Taillights etc.",https://m.media-amazon.com/images/I/41NMwDJgPKL._SX342_SY445_QL70_ML2_.jpg,B07QPCKGL4,https://www.amazon.in/dp/B07QPCKGL4,2025-09-01T20:55:22.886927
,628,4.4 out of 5 stars,,"Non-greasy formula cleans, shines, and protects while providing superior UV blocking for durable protection | Quickly restores natural color and shine to vinyl, rubber, and plastic surface",,B089Z96M1T,https://www.amazon.in/dp/B089Z96M1T,2025-09-01T20:55:28.011489
3M IA260166375 Auto Specialty Tyre Dresser (250 ml),309.,4.3 out of 5 stars,"6,899 ratings","GLOSSY TYRES – The car tyre spray is designed to give a rich, glossy look to your tyres. | FADING PREVENTION – The tyre dresser formulation helps prevent tyres from fading and cracking. | NON-GREASY – The tyre spray polish is easy to use and non-greasy formula which makes it less messy and does not attract dust. | HOW TO USE - Clean the tyres before using. Spray dresser on tyre, use a piece of foam to spread uniformly and let the dresser dry out. Do not apply on wet tyres. | GLOSSY TYRES–The car tyre spray has been especially designed to give a rich, glossy look to your tyres. | FADING PREVENTION–The tyre dresser formulation helps prevent tyres from fading and cracking, making them look new and shiny. | NON-GREASY–The tyre spray polish is easy to use and is a non-greasy formula which makes it less messy for users and does not attract dust. | EASY-TO-APPLY: It is simple DIY product. Just spray dresser on the tyre, use a piece of foam to spread uniformly. and let the dresser dry out. | LONG-LASTING SHEEN: The formula is strengthened with high molecular weight silicone, preserving your tire's brilliant, alluring sheen.",https://m.media-amazon.com/images/I/21i2jAASa5L._SY300_SX300_QL70_ML2_.jpg,B00S5SAFDQ,https://www.amazon.in/dp/B00S5SAFDQ,2025-09-01T20:55:32.755427
"Wavex Tyre Polish for Car and Bike (1L) | With Black Foam Applicator and Microfiber Cloth| Gives Lustrous Dark, Long Lasting Super Black Shine - Non-Greasy, Super Hydrophobic",738.,4.4 out of 5 stars,"3,592 ratings","Tyre Polish for Rich Black Shine- Wavex Tyre Guard Tyre Polish for Car is infused with high shine producing polymers that provide a dark & rick black shine to car tyres | Car Tyre Polish with Instant Results- Within a couple of seconds, the Wavex Tyre Guard Tyre Polish for Car will rejuvenate the appearance and feel of car tyres by lubricating them externally and providing a new-like finish | Tyre Polish + Protector- Our Tyre Polish for Car provides an impressive layer of hydrophobic, water beading which will help protect the car tyres against water, weather elements and premature cracking | Car Tyre Polish for Multiple Surfaces- Wavex Tyre Guard Tyre Polish for Car isn’t just limited to car tyres rather, it works exceptionally well on exterior plastic trims and black plastic parts to prevent long-term fading and cracking | Long Lasting Car Tyre Polish- Wavex Tyre Guard Tyre Polish for Car doesn’t attract dust or dry & evaporate quickly rather, it will easily last on the car tyres for a couple of weeks! Most Convenient & Easy to Use Tyre Polish- Simply clean the car tyres, spray the Wavex Tyre Guard Tyre Polish for Car after drying the tyres and spread it evenly with Wavex Applicator Pads",https://m.media-amazon.com/images/I/41+k+YHkPUL._SY300_SX300_.jpg,B00ZFS87LQ,https://www.amazon.in/dp/B00ZFS87LQ,2025-09-01T20:55:37.287521
,160,4.1 out of 5 stars,,"It has a unique blend of international quality finishers. | Its advanced formulation keeps tyres looking cleaner, darker, & prevents against browning & premature ageing . | Product in its class which gives long lasting satin shine | just spray & drive away.",,B00TC5IHI6,https://www.amazon.in/dp/B00TC5IHI6,2025-09-01T20:55:42.182171
,384,4.4 out of 5 stars,,"Deep, long-lasting shine | Non-greasy, non-slip finish | Effortless Application – Just pour, apply, and buff. | Protects against dirt & UV | Safe for all tyre types",,B0F4ZFLD75,https://www.amazon.in/dp/B0F4ZFLD75,2025-09-01T20:55:47.331950
"AUTO SPA Car & Bike Tyre Polish Gel - 500ml | Long Lasting Super Black Shine | Fresh Look Tyre Dressing, Shinner & Polish | Prevents Dullness | Non-greasy & UV-Resistant | Ultimate Tire Care Solution",294.,4.2 out of 5 stars,84 ratings,"ACHIEVE AN AMAZING SHINE – Provides a luxurious shiny black finish to give you a Showroom Car Look! | NO SLING – Never deal with or worry about slinging and splashing our tire gel all over your beautiful vehicle. | EASY APPLICATION – Don't spend hours of your time applying numerous coats to achieve the shiny finish it provides a glamorous look with only one coat Save Time and Money! | ULTIMATE PROTECTION! – Provides a tough UV shield to keep tyre from fading and becoming weak & dry. | VERSATILE USE - Suitable for all types of tyres, including cars, motorcycles, etc. Achieve a glossy finish that enhances the appearance of your tyres.",https://m.media-amazon.com/images/I/41NOwMNdSHL._SX300_SY300_QL70_ML2_.jpg,B0C77HQZ17,https://www.amazon.in/dp/B0C77HQZ17,2025-09-01T20:55:51.799723
,397,4.4 out of 5 stars,,"Tyre Polish for Rich Black Shine- Wavex Tyre Guard Tyre Polish for Car is infused with high shine producing polymers that provide a dark & rick black shine to car tyres | Car Tyre Polish with Instant Results- Within a couple of seconds, the Wavex Tyre Guard Tyre Polish for Car will rejuvenate the appearance and feel of car tyres by lubricating them externally and providing a new-like finish | Tyre Polish + Protector- Our Tyre Polish for Car provides an impressive layer of hydrophobic, water beading which will help protect the car tyres against water, weather elements and premature cracking | Car Tyre Polish for Multiple Surfaces- Wavex Tyre Guard Tyre Polish for Car isn’t just limited to car tyres rather, it works exceptionally well on exterior plastic trims and black plastic parts to prevent long-term fading and cracking | Long Lasting Car Tyre Polish- Wavex Tyre Guard Tyre Polish for Car doesn’t attract dust or dry & evaporate quickly rather, it will easily last on the car tyres for a couple of weeks! Most Convenient & Easy to Use Tyre Polish- Simply clean the car tyres, spray the Wavex Tyre Guard Tyre Polish for Car after drying the tyres and spread it evenly with Wavex Applicator Pads",,B075L95WPQ,https://www.amazon.in/dp/B075L95WPQ,2025-09-01T20:55:56.783105
,449,4.7 out of 5 stars,,"✅Groommm DIY Tyre Polish Kit With Microfiber Cloth : Groommm Tyre Polish is a complete car tyre polish spray kit designed to bring back the rich black shine of your tyres. It features a hydrophobic formula that repels water, prevents cracks, fading, and dullness, and provides a rich matte finish. With 500ml of car tyre polish liquid, it’s perfect for multiple uses on both cars and bikes. | ✅Instant Black Glossy Shine Formula : Groommm tyre polish for car is formulated to provide an instant deep black glossy shine to your car and bike tyres. Its fast-drying formula ensures that it doesn’t leave a greasy residue and rejuvenates the tyres quickly, making them look brand new. This tyre shiner for car enhances the overall look while keeping the tyres clean. | ✅Free of Silicone Glaze – Non-Greasy & Dust-Resistant : Unlike other polish for car tyres that contain silicone glaze, which makes tyres greasy and attracts dust, Groommm tyre dresser for car is made with a special non-greasy liquid. It keeps your tyres clean, enhances their appearance, and prevents dirt accumulation for a longer-lasting shine. | ✅Prevents Cracks, Fading & Dullness : Groommm tyre polish for car not only enhances the look of your tyres but also protects them from wear and tear. It prevents cracks, fading, and dullness caused by environmental exposure, ensuring your tyres stay in top condition for a longer time. | ✅Easy To Use – DIY Application : Applying Groommm car tyre polish is simple and quick. First, clean the tyres to remove dust or mud. Spray the tyre polish directly onto the tyres and use the included microfiber cloth to spread it evenly in a circular motion. Enjoy long-lasting black shine effortlessly with this bike Tyre shiner polish.",,B0F43LVQDM,https://www.amazon.in/dp/B0F43LVQDM,2025-09-01T20:56:02.028027
,597,4.2 out of 5 stars,,"RESTORE GLOSS - Restores Gloss to Car Paint Surfaces & Protects from UV Rays. | CAR PAINT PROTECTION - Forms a super-slick, protective barrier between the car’s paint and the environment, reducing the sticking and build-up of mud, tar, insects and road grime | SAFE TO USE – The Versatile formula is safe for clear coats and all cured paint finishes. | CLEAN/POLISH/PROTECT - The Cream Wax removes Oxidation and cleans, polishes and protects all painted surfaces. | RESTORES GLOSS - A clear coat safe wax, it restores shine and gloss of car paint surfaces. | CAR PAINT PROTECTION - Forms a super-slick, protective barrier between the car’s paint and the environment, reducing the sticking and build-up of mud, tar, insects and road grime | SAFE-TO-USE –The versatile formula is safe for all cured paint finishes and gives durable finish on both new and used paint surface of your car. | CLEAN-POLISH-PROTECT - The 3M Cream Wax removes oxidation and cleans, polishes and protects all painted surfaces. | UV PROTECTION-The cream wax formulation provides durable UV protection while ensuring long-lasting gloss and deep lusture.",,B00MHP9DA4,https://www.amazon.in/dp/B00MHP9DA4,2025-09-01T20:56:07.836439
"SHEEBA All in One Multipurpose Liquid Polish for Car, Motorbike, Scooter, Household, Office Care | High Gloss | Easy Application | For Interior & Exterior Surfaces -500mL with Applicator Pad.",232.,4.0 out of 5 stars,"40,489 ratings","It's active formula gives extra bright shine & new look to articles polished. | High gloss, contains a unique blend of ingredients that gives extra bright shine and cover protection. | Easy application, as simple to apply and as simple to buff and no extra efforts. | Long Lasting: Leaves a long lasting protective film, that prevents & lasts for long time. | Multi-purpose: An ideal polish for application on Cars / Bikes & Scooter (Plastic, Rubber, Vinyl, Rexene, Surface etc.) Powder Coated Accessories, Car & Bike Headlights & Taillights etc.",https://m.media-amazon.com/images/I/41NMwDJgPKL._SX342_SY445_QL70_ML2_.jpg,B07QPCKGL4,https://www.amazon.in/dp/B07QPCKGL4,2025-09-01T20:56:12.197723
,779,4.1 out of 5 stars,,"High Shine- Car Polish manufactured using original Carnauba Wax Leaves. This Car Wax provides an amazingly high shine, wet and butter-smooth finish to cars | Super Hydrophobicity- Our Carnauba Car Wax Polish offers superior hydrophobic, water beading properties that prevents the build-up of hard water spots in the long run | Ultimate Car Protector- Wavex Carnauba Wax Car Polish offers impressive protection against UV rays, adverse weather and unwanted suspended particles | Superior Performance- Wavex Carnauba Car Wax Polish creates a strong protective barrier on your car’s paint, headlights and chrome components that locks-in shine and gloss offering mirror reflection for a longer time | Cleaner Car Wax- Carnauba Wax Car Polish contains partial cleaning agents that work well to remove any left-over particles thus enabling a shine and finish better than showrooms | Car Wax Polish Developed for All- This Car Wax is non-dusting, with an easy to apply and buff formulation, making it the right Car Polish or Car Wax for detailers and experienced enthusiasts | Includes 40x40cm 350gsm Microfiber Cloth and Premium Foam Applicator",,B00XCCPOC2,https://www.amazon.in/dp/B00XCCPOC2,2025-09-01T20:56:16.995398
,240,4.0 out of 5 stars,,"RESTORE GLOSS - Restores Gloss to Car Paint Surfaces & Protects from UV Rays. | CAR PAINT PROTECTION - Forms a super-slick, protective barrier between the car’s paint and the environment, reducing the sticking and build-up of mud, tar, insects and road grime | SAFE TO USE – The Versatile formula is safe for clear coats and all cured paint finishes. | CLEAN/POLISH/PROTECT - The Premium Liquid Wax removes Oxidation and cleans, polishes and protects all painted surfaces. | RESTORES GLOSS - It restores shine and gloss of car paint surfaces and is also safe for clear coats. | CAR PAINT PROTECTION - Forms a super-slick, protective barrier between the car’s paint and the environment, reducing the sticking and build-up of mud, tar, insects and road grime | SAFE-TO-USE –The versatile formula is safe for all cured paint finishes and gives durable finish on both new and used paint surface of your car. | CLEAN-POLISH-PROTECT - The Premium Liquid Wax removes oxidation and cleans, polishes and protects all painted surfaces. | UV PROTECTION-The liquid wax formulation provides durable UV protection while ensuring long-lasting gloss and deep lusture.",,B00MHQ8JKS,https://www.amazon.in/dp/B00MHQ8JKS,2025-09-01T20:56:22.736323
"Turtle Wax Hybrid Solutions Ceramic Graphene Paste Wax, 160ml, Pack of 1, Patent-Pending Advanced Paint Protection Car Wax & Ceramic Coating, Offer Extreme High Shine Finish, For Cars, Trucks & More","2,549.",4.3 out of 5 stars,"2,886 ratings","Long lasting shine: Formulated with patent-pending Ceramic and Graphene technologies for incredible slickness, shine and long-lasting durability | Protect against the elements: The car wax creates a barrier of protection from environmental and chemical contaminants maintaing shine for months | Easy to apply: Super smooth glide-and-wipe application for an effortless, brilliant shine that doesn't leave any powder residue | Multi-use: Can be used on wheel surfaces, headlights, clear plastics, and exterior metals like chrome and aluminum | Turtle tip: Can be applied in direct sunlight, on warm or cool paint finishes (applicators and towels are not included)",https://m.media-amazon.com/images/I/4193QiyuMbL._SY300_SX300_QL70_ML2_.jpg,B08X1SX524,https://www.amazon.in/dp/B08X1SX524,2025-09-01T20:56:27.067433
,411,4.0 out of 5 stars,,"SPRAY & POLISH in just 10 minutes. Easy on and easy off application with gloss & condition | MICRO POLISHING AGENTS give Long Lasting HIGH GLOSS and PROTECTION from Dust, UV Ray, Bug, Acid Rain, Oxidation etc | Creates HYDROPHOBIC EFFECT - Water Beading Properties immediately turn water drops into beads which easily roll off. NOURISHING Agents enhance a deep rich colour. | Can be used by Hand or by Buffing Machine. Suitable for all colours and can be applied on any Car Paint finish including metallic. Clear Coat Safe. | Can be used AT HOME on Painted surface, Plastic, Wood, Rubber, Vinyl, Acrylic, PU, Laminate etc. To shine & protect from scratches & fading.",,B00RLK8UXG,https://www.amazon.in/dp/B00RLK8UXG,2025-09-01T20:56:32.832620
