keyword,occurrence,raw_total_score,normalized_total,effectiveness
00,17,3.842801582677438,1.0,2.134223054737699
car,13,3.0546994033859804,0.7949146833799433,1.9014002711211324
delivery,17,1.0969747240303527,0.2854622338492026,1.8484079482773796
00 subtotal,17,1.061099923863644,0.2761266490174421,1.8446737143446754
delivery date,17,1.061099923863644,0.2761266490174421,1.8446737143446754
date order,17,1.061099923863644,0.2761266490174421,1.8446737143446754
date,17,1.061099923863644,0.2761266490174421,1.8446737143446754
cost delivery,17,1.061099923863644,0.2761266490174421,1.8446737143446754
cost,17,1.061099923863644,0.2761266490174421,1.8446737143446754
checkout,17,1.061099923863644,0.2761266490174421,1.8446737143446754
shine,14,2.0557764732212815,0.5349681551314802,1.838817382713918
includes,14,0.9187376704557516,0.23908017384952499,1.720462190201136
including,13,0.8826921996936958,0.22970017595305764,1.675314468150378
including tax,13,0.8459066050548104,0.2201275779806025,1.6714854289613958
polish,10,2.1758542486779513,0.566215611674112,1.665223408348667
order total,12,0.7879538462748359,0.20504671639222027,1.6209883010338102
order,12,0.7879538462748359,0.20504671639222027,1.6209883010338102
options,12,0.7879538462748359,0.20504671639222027,1.6209883010338102
initial,12,0.7879538462748359,0.20504671639222027,1.6209883010338102
payment,10,0.6696812816635671,0.17426902411052214,1.5084447733232311
tyre,7,1.9681707577363998,0.5121707991920557,1.452533244684724
long,8,0.6587204253341137,0.17141671542540482,1.3869014325718936
lasting,8,0.6485240555207764,0.16876334662819698,1.3858400850530104
selected,8,0.5689307104796105,0.14805102429546027,1.3775551561199157
look,7,0.7893412024030486,0.20540774365276546,1.3298280224690078
non,7,0.5893163389424916,0.15335591137440166,1.309007289557662
product,7,0.5848824386176448,0.15220209163392015,1.3085457616614695
selected options,7,0.5247473222990101,0.13655332210345272,1.3022862538492825
long lasting,7,0.505080258114207,0.13143542471487607,1.3002390948938518
tyres,6,1.1025661314356858,0.2869172679655978,1.282312996619427
greasy,6,0.5843342780561094,0.15205944555924214,1.2283698676568848
shipping,6,0.4805423549287566,0.12505000442774433,1.2175660912042856
shipping cost,6,0.4805423549287566,0.12505000442774433,1.2175660912042856
easy,6,0.44443808558004294,0.11565470556259755,1.2138079716582268
brand,6,0.38279444245967287,0.09961337691366418,1.2073914401986536
gloss,5,0.7276483373204736,0.1893536061295913,1.1507971239886694
protection,5,0.6296886527109489,0.16386186982680975,1.1406004294675567
3m,5,0.545181959722664,0.1418709626279516,1.1318040665880136
polish car,5,0.5154336891732884,0.13412966505914795,1.128707547560492
use,5,0.4954612989843637,0.128932313658296,1.1266286070001512
uv,5,0.48717357765097846,0.12677562636776699,1.1257659320839397
glossy,5,0.48486333969244166,0.12617444051186671,1.1255254577415794
non greasy,5,0.46195355632200047,0.12021270065162679,1.1231407617974836
plastic,5,0.4279294002372958,0.11135870302706073,1.1195991627476571
shown checkout,5,0.40879275459533904,0.10637883476422332,1.117607215442522
subtotal,5,0.40879275459533904,0.10637883476422332,1.117607215442522
shown,5,0.40879275459533904,0.10637883476422332,1.117607215442522
formula,5,0.3640450277610009,0.0947342765242008,1.1129493921465132
amazon,5,0.3480157361224921,0.09056302508338596,1.1112808915701873
