feature,mention_count,avg_sentiment
you,8,0.0
this product,3,0.0
this,3,0.0
money,3,0.0
the polish,2,0.0
swirl mark,2,0.0
pro,1,0.0
application,1,0.0
"the ""silkytouch"" effect",1,0.0
its name,1,0.0
smooth finish,1,0.0
the paint,1,0.0
the original color,1,0.0
"a noticeably deep, glossy finish",1,0.0
excellent shine,1,0.0
a few car,1,0.0
a silver sedan,1,0.0
a black hatchback,1,0.0
my detailed experience,1,0.0
the waxpol silkytouch car polish,1,0.0
good product,1,0.0
all my friend,1,0.0
shine,1,0.0
my car,1,0.0
the surface,1,0.0
