feature,mention_count,avg_sentiment
my 8-year-old thunderbird 350 tyre,1,0.0
brand new look,1,0.0
good product,1,0.0
cap,1,0.0
bottle,1,0.0
the hydrophobic,1,0.0
least application,1,0.0
the product,1,0.0
money,1,0.0
value,1,0.0
polished surface,1,0.0
polished droplet,1,0.0
"after polished, my nexon's old tyres change",1,0.0
brand,1,0.0
a satisfied product,1,0.0
this,1,0.0
hand,1,0.0
glove,1,0.0
car,1,0.0
tyre and plastic part,1,0.0
the entire tyre,1,0.0
just 3–4ml,1,0.0
wavex,1,0.0
an amazing product,1,0.0
the purpose,1,0.0
