feature,mention_count,avg_sentiment
this product,2,0.0
which,2,0.0
oliy,1,0.0
many cleaner,1,0.0
nice product,1,0.0
a faint fragrance,1,0.0
good quality,1,0.0
the detail towel,1,0.0
the sponge,1,0.0
regular use,1,0.0
a year,1,0.0
one bottle,1,0.0
effective car waxing,1,0.0
dashboard,1,0.0
stain,1,0.0
the image,1,0.0
the difference,1,0.0
you,1,0.0
good protection,1,0.0
5 year,1,0.0
half or less quantity,1,0.0
same price,1,0.0
other option,1,0.0
"non greasy non sticky, good fragrance",1,0.0
the year,1,0.0
